event_id,trip_id,driver_id,passenger_id,reservation_id,event_type,reservation_status,departure_city,destination_city,route,price_per_seat,seats_total,seats_change,price_category,event_ts,trip_publish_ts,trip_departure_ts,annee,mois,jour,heure,trimestre,trimestre_label,mois_nom,jour_semaine,jour_semaine_num,semaine,date,periode_journee,driver_name,passenger_name
EVTWTCMBLEPSO,TRP2379,DRV0051,PAS_AUCUN,RSV_AUCUNE,trip_published,sans_reservation,Hammamet,Jendouba,Hammamet → Jendouba,17.9,2,0,Standard,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 23:10:00,2025,1,1,0,1,T1,January,Wednesday,2,1,2025-01-01,Nuit,Rim Karray,Pas de passager
EVTMNO8ECTALU,TRP1694,DRV0038,PAS_AUCUN,RSV_AUCUNE,trip_published,sans_reservation,Manouba,Zarzis,Manouba → Zarzis,23.8,3,0,Premium,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-11 08:05:00,2025,1,1,0,1,T1,January,Wednesday,2,1,2025-01-01,Nuit,Ilyes Dali,Pas de passager
EVT2I5SGFCFLJ,TRP2394,DRV0044,PAS_AUCUN,RSV_AUCUNE,trip_published,sans_reservation,Ariana,Mahdia,Ariana → Mahdia,15.8,3,0,Standard,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 12:00:00,2025,1,1,0,1,T1,January,Wednesday,2,1,2025-01-01,Nuit,Wassim Mansouri,Pas de passager
EVTQA4P3PRNO5,TRP0502,DRV0034,PAS_AUCUN,RSV_AUCUNE,trip_published,sans_reservation,Jendouba,Nabeul,Jendouba → Nabeul,28.4,4,0,Premium,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-15 04:15:00,2025,1,1,0,1,T1,January,Wednesday,2,1,2025-01-01,Nuit,Mariem Bouslama,Pas de passager
EVT6IXAQ7NXNG,TRP1533,DRV0026,PAS_AUCUN,RSV_AUCUNE,trip_published,sans_reservation,Kebili,Hammamet,Kebili → Hammamet,25.7,4,0,Premium,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-13 14:10:00,2025,1,1,0,1,T1,January,Wednesday,2,1,2025-01-01,Nuit,Mariem Trabelsi,Pas de passager
EVTAWE3IAVX56,TRP0514,DRV0057,PAS_AUCUN,RSV_AUCUNE,trip_published,sans_reservation,Zarzis,Monastir,Zarzis → Monastir,20.8,4,0,Premium,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 02:35:00,2025,1,1,0,1,T1,January,Wednesday,2,1,2025-01-01,Nuit,Sami Bouazizi,Pas de passager
EVTPGSV21K4ER,TRP2394,DRV0044,PAS0351,RSVZTW87YFTCL,reservation_created,active,Ariana,Mahdia,Ariana → Mahdia,15.8,3,1,Standard,2025-01-01 00:04:11,2025-01-01 00:00:00,2025-01-01 12:00:00,2025,1,1,0,1,T1,January,Wednesday,2,1,2025-01-01,Nuit,Wassim Mansouri,Wassim Zouari
EVTTRRR1G7SVE,TRP0514,DRV0057,PAS0415,RSVFQU0LMRFY1,reservation_created,active,Zarzis,Monastir,Zarzis → Monastir,20.8,4,1,Premium,2025-01-01 00:06:15,2025-01-01 00:00:00,2025-01-01 02:35:00,2025,1,1,0,1,T1,January,Wednesday,2,1,2025-01-01,Nuit,Sami Bouazizi,Mehdi Souissi
EVTVJMJIKPEJD,TRP0514,DRV0057,PAS0114,RSVKV5C1SUGSG,reservation_created,active,Zarzis,Monastir,Zarzis → Monastir,20.8,4,2,Premium,2025-01-01 00:06:59,2025-01-01 00:00:00,2025-01-01 02:35:00,2025,1,1,0,1,T1,January,Wednesday,2,1,2025-01-01,Nuit,Sami Bouazizi,Ahmed Bouslama
EVTX2K3PMM7TI,TRP0514,DRV0057,PAS0463,RSV75MM6M07EF,reservation_created,active,Zarzis,Monastir,Zarzis → Monastir,20.8,4,1,Premium,2025-01-01 00:20:25,2025-01-01 00:00:00,2025-01-01 02:35:00,2025,1,1,0,1,T1,January,Wednesday,2,1,2025-01-01,Nuit,Sami Bouazizi,Khalil Trabelsi
