event_id,event_type,event_ts,trip_id,trip_publish_ts,trip_departure_ts,departure_city,destination_city,driver_id,driver_name,passenger_id,passenger_name,price_per_seat,seats_total,seats_change,reservation_id,reservation_status
EVTWTCMBLEPSO,trip_published,2025-01-01 00:00:00,TRP2379,2025-01-01 00:00:00,2025-01-01 23:10:00,Hammamet,Jendouba,DRV0051,Rim Karray,,,17.9,2,0,,
EVTMNO8ECTALU,trip_published,2025-01-01 00:00:00,TRP1694,2025-01-01 00:00:00,2025-01-11 08:05:00,Manouba,Zarzis,DRV0038,Ilyes Dali,,,23.8,3,0,,
EVT2I5SGFCFLJ,trip_published,2025-01-01 00:00:00,TRP2394,2025-01-01 00:00:00,2025-01-01 12:00:00,Ariana,Mahdia,DRV0044,Wassim Mansouri,,,15.8,3,0,,
EVTQA4P3PRNO5,trip_published,2025-01-01 00:00:00,TRP0502,2025-01-01 00:00:00,2025-01-15 04:15:00,Jendouba,Nabeul,DRV0034,Mariem Bouslama,,,28.4,4,0,,
EVT6IXAQ7NXNG,trip_published,2025-01-01 00:00:00,TRP1533,2025-01-01 00:00:00,2025-01-13 14:10:00,Kebili,Hammamet,DRV0026,Mariem Trabelsi,,,25.7,4,0,,
EVTAWE3IAVX56,trip_published,2025-01-01 00:00:00,TRP0514,2025-01-01 00:00:00,2025-01-01 02:35:00,Zarzis,Monastir,DRV0057,Sami Bouazizi,,,20.8,4,0,,
EVTPGSV21K4ER,reservation_created,2025-01-01 00:04:11,TRP2394,2025-01-01 00:00:00,2025-01-01 12:00:00,Ariana,Mahdia,DRV0044,Wassim Mansouri,PAS0351,Wassim Zouari,15.8,3,1,RSVZTW87YFTCL,active
EVTTRRR1G7SVE,reservation_created,2025-01-01 00:06:15,TRP0514,2025-01-01 00:00:00,2025-01-01 02:35:00,Zarzis,Monastir,DRV0057,Sami Bouazizi,PAS0415,Mehdi Souissi,20.8,4,1,RSVFQU0LMRFY1,active
EVTVJMJIKPEJD,reservation_created,2025-01-01 00:06:59,TRP0514,2025-01-01 00:00:00,2025-01-01 02:35:00,Zarzis,Monastir,DRV0057,Sami Bouazizi,PAS0114,Ahmed Bouslama,20.8,4,2,RSVKV5C1SUGSG,active
EVTX2K3PMM7TI,reservation_created,2025-01-01 00:20:25,TRP0514,2025-01-01 00:00:00,2025-01-01 02:35:00,Zarzis,Monastir,DRV0057,Sami Bouazizi,PAS0463,Khalil Trabelsi,20.8,4,1,RSV75MM6M07EF,active
EVTG7NVKBJN7F,trip_published,2025-01-01 00:40:00,TRP0930,2025-01-01 00:40:00,2025-01-05 10:40:00,Ariana,Tozeur,DRV0029,Hedi Karray,,,27.7,3,0,,
EVTOGWIBJB6M9,trip_published,2025-01-01 01:00:00,TRP0022,2025-01-01 01:00:00,2025-01-08 06:25:00,Jendouba,Manouba,DRV0016,Sami Chaabane,,,21.1,2,0,,
EVTBXDQ30PEGZ,trip_published,2025-01-01 01:00:00,TRP1630,2025-01-01 01:00:00,2025-01-02 20:00:00,Gabes,Sfax,DRV0008,Youssef Karray,,,19.4,2,0,,
EVTQH6YHXHI7C,trip_published,2025-01-01 01:00:00,TRP1656,2025-01-01 01:00:00,2025-01-01 12:15:00,Gafsa,Jendouba,DRV0053,Khalil Khelifi,,,11.2,2,0,,
EVT57QQDG5WX2,reservation_created,2025-01-01 01:02:25,TRP2379,2025-01-01 00:00:00,2025-01-01 23:10:00,Hammamet,Jendouba,DRV0051,Rim Karray,PAS0243,Asma Gharbi,17.9,2,1,RSVWMVM7FOGBM,active
EVTYYMVVG7H0Q,reservation_cancelled,2025-01-01 01:05:50,TRP0514,2025-01-01 00:00:00,2025-01-01 02:35:00,Zarzis,Monastir,DRV0057,Sami Bouazizi,PAS0415,Mehdi Souissi,20.8,4,-1,RSVFQU0LMRFY1,cancelled
EVTPBM51IZ0UH,reservation_created,2025-01-01 01:17:06,TRP0514,2025-01-01 00:00:00,2025-01-01 02:35:00,Zarzis,Monastir,DRV0057,Sami Bouazizi,PAS0114,Ahmed Bouslama,20.8,4,1,RSV7SJU0VHIIN,active
EVT4XVRYDAFV8,trip_published,2025-01-01 02:00:00,TRP0905,2025-01-01 02:00:00,2025-01-07 07:35:00,Kebili,Mahdia,DRV0009,Asma Dali,,,21.6,4,0,,
EVTZD2LGUQION,trip_published,2025-01-01 02:00:00,TRP1135,2025-01-01 02:00:00,2025-01-02 13:45:00,Gafsa,Jendouba,DRV0016,Sami Chaabane,,,11.4,4,0,,
EVTYO3UM330BO,trip_published,2025-01-01 02:00:00,TRP1968,2025-01-01 02:00:00,2025-01-16 22:20:00,Nabeul,Gafsa,DRV0048,Ilyes Bouslama,,,22.6,3,0,,
EVT969TRJ7O6Y,trip_published,2025-01-01 02:00:00,TRP2106,2025-01-01 02:00:00,2025-01-11 18:45:00,Mahdia,Nabeul,DRV0012,Ameni Bouslama,,,10.2,3,0,,
EVTTXLQ0ZI2L5,trip_published,2025-01-01 02:00:00,TRP1012,2025-01-01 02:00:00,2025-01-10 09:15:00,Mahdia,Hammamet,DRV0021,Sami Ben Ali,,,10.3,2,0,,
EVTS5PYYZ5YMI,trip_published,2025-01-01 02:00:00,TRP0059,2025-01-01 02:00:00,2025-01-10 17:30:00,Sousse,Tunis,DRV0050,Wassim Dali,,,12.0,3,0,,
EVT1WB0BJHPPI,trip_published,2025-01-01 03:00:00,TRP0858,2025-01-01 03:00:00,2025-01-01 06:35:00,Hammamet,Nabeul,DRV0048,Ilyes Bouslama,,,13.1,3,0,,
EVTQEJKAZRVZD,trip_published,2025-01-01 03:00:00,TRP0402,2025-01-01 03:00:00,2025-01-10 12:20:00,Sfax,Hammamet,DRV0054,Ameni Mansouri,,,12.4,3,0,,
EVT2XN7YRPXT6,trip_published,2025-01-01 03:00:00,TRP1437,2025-01-01 03:00:00,2025-01-04 05:15:00,Monastir,Mahdia,DRV0012,Ameni Bouslama,,,10.2,3,0,,
EVTV2EH2YOVPZ,reservation_created,2025-01-01 03:10:57,TRP0858,2025-01-01 03:00:00,2025-01-01 06:35:00,Hammamet,Nabeul,DRV0048,Ilyes Bouslama,PAS0434,Eya Masmoudi,13.1,3,1,RSVJOP55MD9EN,active
EVT26IFN9K088,reservation_created,2025-01-01 03:16:32,TRP0858,2025-01-01 03:00:00,2025-01-01 06:35:00,Hammamet,Nabeul,DRV0048,Ilyes Bouslama,PAS0349,Mehdi Souissi,13.1,3,1,RSVHZW8QJKJYO,active
EVT1LY0OCRVQZ,trip_published,2025-01-01 04:00:00,TRP0488,2025-01-01 04:00:00,2025-01-09 23:15:00,Ben Arous,Tunis,DRV0006,Mouna Kouki m,,,10.5,3,0,,
EVTR5KLS0RSHM,trip_published,2025-01-01 04:00:00,TRP2202,2025-01-01 04:00:00,2025-01-10 19:25:00,Bizerte,Hammamet,DRV0026,Mariem Trabelsi,,,16.4,3,0,,
EVTCR0L32U5CX,trip_published,2025-01-01 04:00:00,TRP1383,2025-01-01 04:00:00,2025-01-02 12:55:00,Ben Arous,Gabes,DRV0002,Youssef Hammami,,,29.5,2,0,,
EVTV2NP1N1V96,trip_published,2025-01-01 04:00:00,TRP2413,2025-01-01 04:00:00,2025-01-02 05:40:00,Sfax,Ariana,DRV0022,Asma Zouari,,,15.1,3,0,,
EVT2Y7JUYHTLH,reservation_created,2025-01-01 04:18:35,TRP0858,2025-01-01 03:00:00,2025-01-01 06:35:00,Hammamet,Nabeul,DRV0048,Ilyes Bouslama,PAS0265,Wassim Trabelsi,13.1,3,1,RSVPMR0VP3B3H,active
EVTHXX5KWIY71,reservation_created,2025-01-01 04:35:04,TRP2394,2025-01-01 00:00:00,2025-01-01 12:00:00,Ariana,Mahdia,DRV0044,Wassim Mansouri,PAS0099,Nour Karray,15.8,3,1,RSV5OPAC7JU90,active
EVTOWA4RZMWDE,trip_published,2025-01-01 05:00:00,TRP1615,2025-01-01 05:00:00,2025-01-12 06:25:00,Kairouan,Gabes,DRV0023,Khalil Masmoudi,,,14.1,3,0,,
EVTUR4LMY2CXN,trip_published,2025-01-01 05:00:00,TRP1232,2025-01-01 05:00:00,2025-01-01 18:45:00,Ariana,Manouba,DRV0001,Aziz Khelifi,,,6.9,2,0,,
EVTX6CZH5F983,reservation_created,2025-01-01 05:10:10,TRP2413,2025-01-01 04:00:00,2025-01-02 05:40:00,Sfax,Ariana,DRV0022,Asma Zouari,PAS0173,Asma Bouazizi,15.1,3,1,RSVSSO707CM6P,active
EVT24DE4I3527,trip_published,2025-01-01 05:20:00,TRP1510,2025-01-01 05:20:00,2025-01-22 13:20:00,Sousse,Bizerte,DRV0008,Youssef Karray,,,17.2,2,0,,
EVTL6XN1NY7IF,reservation_created,2025-01-01 05:41:14,TRP1656,2025-01-01 01:00:00,2025-01-01 12:15:00,Gafsa,Jendouba,DRV0053,Khalil Khelifi,PAS0337,Hedi Dali,11.2,2,1,RSVOD9C4O0FSM,active
EVTXYXN6OKOUA,reservation_created,2025-01-01 05:52:42,TRP1232,2025-01-01 05:00:00,2025-01-01 18:45:00,Ariana,Manouba,DRV0001,Aziz Khelifi,PAS0095,Youssef Chaabane,6.9,2,1,RSVXIFKQ7BR8J,active
EVTHVUE3U1F5R,trip_published,2025-01-01 06:00:00,TRP1121,2025-01-01 06:00:00,2025-01-05 12:25:00,Ben Arous,Sousse,DRV0046,Youssef Masmoudi,,,19.2,4,0,,
EVTQKBR9FYYVM,trip_published,2025-01-01 06:00:00,TRP1710,2025-01-01 06:00:00,2025-01-13 18:00:00,Hammamet,Kairouan,DRV0027,Ahmed Ferjani,,,12.1,2,0,,
